"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.3796903998985","33.2532213040742","33.1007137124004","32.933537633395","32.8074154385723","32.780223387838","32.6487295228766","32.5693048365663","32.5351697437838","32.5067877663458","32.4481368396469","32.4777497614779","32.5295654466443","32.6012725122699","32.704870704197","32.8530962149263","32.740818162071","32.6689973059039","32.6474284794018","32.6878041619968","32.7943056959118","33.0867525867991","33.4515643424237","33.8657686364007","34.3019822111333","34.7435074068895","35.1550787864672","35.5337374014725","35.6558504363354",
"Angola","AGO","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.6086830611799","49.5710677250551","49.5522985467944","49.4989329975699","49.539719911211","49.6035801802708","49.6194886350746","49.6431579848506","49.6765011337696","49.7107223984482","49.7477069991523","49.7537858780936","49.7408133616951","49.7641538857161","49.8036827347483","49.8608279171382","49.8903573107114","49.934448715736","49.9625639798769","49.9641501295761","49.9745996721495","49.9672178579862","49.9806980100926","50.011229073378","50.0431210107644","50.0744564625953","50.1035093091102","50.1362523044669","50.146787340019",
"Albania","ALB","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.8736145736288","42.2228705227799","42.9975739035135","43.3616820639554","43.7153030333522","43.8107714381121","43.3178558903189","43.0690582515649","42.3056614371093","41.5521249355806","41.0907229292695","40.9460724367991","40.9958493200029","41.2485907553551","41.5344773263454","41.801277791816","42.0457030007443","42.2498384816637","42.4173926706065","41.5701146070841","42.4263141406362","42.4799030060574","42.5686450457005","41.5925200664157","41.1007005569655","42.072863803276","41.9977824271238","41.9649010193147","41.9838080914648",
"Andorra","AND","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.4895620608727","19.513649217814","19.4892113348591","19.5997559729498","19.8474906280698","19.8558271408492","19.8419365058963","19.7278027133246","19.6760460934427","20.0291739422418","20.1240116370806","20.1697129891208","19.8114719700173","19.9778030390118","20.0342646206307","20.0518609873544","20.1197651333739","20.4320854939475","20.0241953375381","20.1060038287407","20.0307946973523","20.0536938963742","20.153300657089","20.3324254248217","20.3419472856211","20.2768195333913","20.4093824431655","20.3567637194697","20.3511926321211",
"United Arab Emirates","ARE","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7955716719448","10.9892951336815","11.1557688702377","11.3624221294492","11.4927669462852","11.613696954033","11.7496800785615","11.8629831327157","11.9458098978108","11.9971920774236","12.0161425948019","12.2008891412563","12.3710910543007","12.4561464801539","12.3726714135519","12.1182862074993","11.8869197723154","11.6214257216034","11.4422003786691","11.4149357953224","11.5491938999133","11.8489412095173","12.2460756348177","12.7152542549965","13.2113482394629","13.6972405469933","14.2319051433979","14.8371101561377","15.1026627921177",
"Argentina","ARG","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.792388158954","38.6170055188456","39.4637407548067","40.0809303903851","40.6352195921834","40.7500120955427","41.219960287699","41.7205037827546","41.9879307420286","41.895203385603","41.8532361441924","41.673894289561","41.128190501189","41.3461555197469","41.5751977214057","41.25040081716","41.4897993753522","41.2122435606837","40.9406301388537","41.2780620499357","40.8541717633507","40.9220380445765","41.0863163390394","40.9345770676162","40.7502403765556","41.1202861801149","41.4987613319947","41.8723574097269","41.8307838573468",
"Armenia","ARM","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.4455662499343","43.6843481145851","44.0034754514607","44.3857812275945","44.804849689059","45.2268458506389","45.5692089583693","45.8825502422075","46.1565501331187","46.3834709381824","46.5611422540276","46.5576015496686","46.505783315211","46.4293417306531","46.3570658798461","46.3110385946348","46.2661285582445","46.2614722228994","46.2713231728332","46.3307464092372","45.6445657176195","47.1313758482491","47.1712443812144","47.4018309565316","46.9301402352461","46.7195290313812","45.9729949024331","45.9565057668596","45.9619206954192",
"American Samoa","ASM","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
